X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Gesture
2.359398,2.9615147,1.6793251,0.2489551,0.9734552,0.5418728,0.30585113,0.46916398,0.22818594,0.23189907,0.31821623,0.09522048,0.08810685,0.4456708,0.12304699,0.101446696,0.31158212,0.24335165,0.15809216,0.24097662,0.15679024,0.19071884,0.21374102,0.16272745,0.23917672,0.06693557,0.14483887,0.22649264,0.124425784,0.0806302,0.18395862,0.096486606,0.07799108,0.096486606,0.18395862,0.0806302,0.124425784,0.22649264,0.14483887,0.06693557,0.23917672,0.16272745,0.21374102,0.19071884,0.15679024,0.24097662,0.15809216,0.24335165,0.31158212,0.101446696,0.12304699,0.4456708,0.08810685,0.09522048,0.31821623,0.23189907,0.22818594,0.46916398,0.30585113,0.5418728,0.9734552,0.2489551,1.6793251,2.9615147,hh
2.408264,2.8921967,1.7615818,0.22054015,1.041074,0.46913472,0.23143849,0.5341994,0.25505778,0.11278553,0.35193154,0.21063887,0.07602111,0.34451145,0.06338527,0.048043173,0.24565181,0.1856368,0.1310147,0.25577158,0.069846824,0.15321545,0.24236238,0.13976082,0.2193278,0.14647143,0.20031184,0.26081786,0.04975224,0.13943316,0.15255186,0.15587404,0.028676469,0.15587404,0.15255186,0.13943316,0.04975224,0.26081786,0.20031184,0.14647143,0.2193278,0.13976082,0.24236238,0.15321545,0.069846824,0.25577158,0.1310147,0.1856368,0.24565181,0.048043173,0.06338527,0.34451145,0.07602111,0.21063887,0.35193154,0.11278553,0.25505778,0.5341994,0.23143849,0.46913472,1.041074,0.22054015,1.7615818,2.8921967,hh
1.8367531,3.070997,1.7824731,0.23188229,1.149683,0.37945697,0.16938321,0.49577752,0.30377346,0.03977696,0.38347337,0.30174732,0.18192007,0.20558527,0.26944044,0.16085012,0.2639801,0.12030833,0.15602627,0.27967903,0.05161747,0.1226785,0.19113867,0.120281905,0.13712627,0.17556174,0.09009726,0.1133735,0.17279564,0.0359349,0.17364095,0.16909817,0.043108214,0.16909817,0.17364095,0.0359349,0.17279564,0.1133735,0.09009726,0.17556174,0.13712627,0.120281905,0.19113867,0.1226785,0.05161747,0.27967903,0.15602627,0.12030833,0.2639801,0.16085012,0.26944044,0.20558527,0.18192007,0.30174732,0.38347337,0.03977696,0.30377346,0.49577752,0.16938321,0.37945697,1.149683,0.23188229,1.7824731,3.070997,hh
3.822235,2.3755038,1.3761835,0.34261838,0.64849925,0.38701317,0.13136473,0.40568432,0.1478878,0.09248326,0.28648832,0.30000013,0.080036245,0.201248,0.21348658,0.14347412,0.12939924,0.14993267,0.027379755,0.20114549,0.058957275,0.09709147,0.10502328,0.097974375,0.112763815,0.12904629,0.11397761,0.104576185,0.11105486,0.06679919,0.08638608,0.09532663,0.07971086,0.09532663,0.08638608,0.06679919,0.11105486,0.104576185,0.11397761,0.12904629,0.112763815,0.097974375,0.10502328,0.09709147,0.058957275,0.20114549,0.027379755,0.14993267,0.12939924,0.14347412,0.21348658,0.201248,0.080036245,0.30000013,0.28648832,0.09248326,0.1478878,0.40568432,0.13136473,0.38701317,0.64849925,0.34261838,1.3761835,2.3755038,hh
2.8343732,2.975311,1.3191372,0.26542482,0.67826205,0.60191333,0.14919738,0.4393798,0.37802988,0.16451304,0.43253106,0.1574327,0.10558889,0.26978913,0.21846142,0.17214915,0.14495733,0.06452174,0.083077304,0.27876186,0.12351185,0.17157988,0.10996974,0.06109198,0.079902425,0.24938013,0.091475375,0.1663006,0.12605996,0.020630857,0.13618124,0.14689349,0.01271187,0.14689349,0.13618124,0.020630857,0.12605996,0.1663006,0.091475375,0.24938013,0.079902425,0.06109198,0.10996974,0.17157988,0.12351185,0.27876186,0.083077304,0.06452174,0.14495733,0.17214915,0.21846142,0.26978913,0.10558889,0.1574327,0.43253106,0.16451304,0.37802988,0.4393798,0.14919738,0.60191333,0.67826205,0.26542482,1.3191372,2.975311,hh
2.3946173,2.9843874,1.6335163,0.122076936,0.9880914,0.53480023,0.2221937,0.46380746,0.3246123,0.1974469,0.36515242,0.1835342,0.111494586,0.45035532,0.08416688,0.076145716,0.26103106,0.22846745,0.15117316,0.10424485,0.21713454,0.16857634,0.24866027,0.061805252,0.21335636,0.156357,0.053846866,0.21167701,0.13720836,0.011753413,0.109237865,0.15806527,0.032527424,0.15806527,0.109237865,0.011753413,0.13720836,0.21167701,0.053846866,0.156357,0.21335636,0.061805252,0.24866027,0.16857634,0.21713454,0.10424485,0.15117316,0.22846745,0.26103106,0.076145716,0.08416688,0.45035532,0.111494586,0.1835342,0.36515242,0.1974469,0.3246123,0.46380746,0.2221937,0.53480023,0.9880914,0.122076936,1.6335163,2.9843874,hh
2.583912,2.907481,1.663478,0.16679354,1.0170368,0.5487593,0.25861582,0.4783468,0.30938992,0.20657144,0.33951205,0.13831095,0.057888903,0.39686862,0.08067918,0.096046716,0.22932397,0.19835533,0.118143365,0.11587742,0.18569787,0.07800529,0.21166824,0.09828839,0.14704399,0.17920734,0.04465067,0.15353242,0.15854612,0.047570266,0.13762292,0.15281585,0.056866936,0.15281585,0.13762292,0.047570266,0.15854612,0.15353242,0.04465067,0.17920734,0.14704399,0.09828839,0.21166824,0.07800529,0.18569787,0.11587742,0.118143365,0.19835533,0.22932397,0.096046716,0.08067918,0.39686862,0.057888903,0.13831095,0.33951205,0.20657144,0.30938992,0.4783468,0.25861582,0.5487593,1.0170368,0.16679354,1.663478,2.907481,hh
1.4221592,3.3366911,1.600049,0.2619983,1.0171934,0.44587305,0.10580601,0.4287775,0.3214947,0.11455018,0.40652248,0.3091729,0.2260978,0.18653357,0.2358518,0.13727573,0.33526438,0.036184374,0.110831715,0.22200707,0.14226617,0.09029133,0.18969707,0.11802759,0.14805388,0.1705951,0.053839944,0.15654127,0.17234738,0.07896924,0.16590586,0.1438874,0.059820585,0.1438874,0.16590586,0.07896924,0.17234738,0.15654127,0.053839944,0.1705951,0.14805388,0.11802759,0.18969707,0.09029133,0.14226617,0.22200707,0.110831715,0.036184374,0.33526438,0.13727573,0.2358518,0.18653357,0.2260978,0.3091729,0.40652248,0.11455018,0.3214947,0.4287775,0.10580601,0.44587305,1.0171934,0.2619983,1.600049,3.3366911,hh
3.8395083,2.395881,1.3192774,0.23886141,0.5773169,0.51299304,0.15695666,0.42918238,0.20634483,0.058182616,0.29512545,0.21051703,0.05679562,0.16040568,0.2799258,0.110339396,0.21123567,0.16947632,0.0890526,0.17651625,0.0386945,0.093329534,0.08046681,0.14025028,0.08056202,0.16009384,0.07326482,0.1131955,0.15266253,0.06787702,0.092186265,0.062757984,0.18148066,0.062757984,0.092186265,0.06787702,0.15266253,0.1131955,0.07326482,0.16009384,0.08056202,0.14025028,0.08046681,0.093329534,0.0386945,0.17651625,0.0890526,0.16947632,0.21123567,0.110339396,0.2799258,0.16040568,0.05679562,0.21051703,0.29512545,0.058182616,0.20634483,0.42918238,0.15695666,0.51299304,0.5773169,0.23886141,1.3192774,2.395881,hh
2.6104946,3.060736,1.3800743,0.2992351,0.6293161,0.7350199,0.23924409,0.5242036,0.25942314,0.22353075,0.44916627,0.24793346,0.26542774,0.18852574,0.19094121,0.089954995,0.23986694,0.14931668,0.1362791,0.23004581,0.08048288,0.1634783,0.17539854,0.044225942,0.11461263,0.19715168,0.08748023,0.16315818,0.085982576,0.09314326,0.085841686,0.2578171,0.13205385,0.2578171,0.085841686,0.09314326,0.085982576,0.16315818,0.08748023,0.19715168,0.11461263,0.044225942,0.17539854,0.1634783,0.08048288,0.23004581,0.1362791,0.14931668,0.23986694,0.089954995,0.19094121,0.18852574,0.26542774,0.24793346,0.44916627,0.22353075,0.25942314,0.5242036,0.23924409,0.7350199,0.6293161,0.2992351,1.3800743,3.060736,hh
