X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Gesture
-0.3589234,-0.35174492,-0.39481574,-1.2921243,-3.859623,-5.0249276,-3.9194436,-3.414558,-3.5174494,-3.0532417,-2.2085752,-0.9020941,-0.17706887,-0.39720857,-0.5192425,-0.485743,-0.35413775,-0.40677986,-0.45942193,-0.4426722,-0.44506502,-0.3589234,-0.40438703,-0.35653058,-0.2727818,-0.34217364,-0.3900301,-0.37328035,-0.39960137,-0.37806597,-2.5292134,-2.3425734,-1.6319051,3.7016966,-2.9336007,-1.4763715,-3.95055,-2.8953154,-1.8281165,-1.0815558,0.44745782,1.7060826,-1.6223338,-2.6512475,-1.4404793,-1.8089739,-1.8424734,-2.0889342,-2.0315065,-1.6701902,-2.0434706,-1.7491534,-1.8113668,-2.0267208,-1.9214365,-1.9573289,-1.9070797,-1.8424734,-1.9214365,-1.7994026,9.600004,9.595219,9.492328,8.56152,9.487542,8.944371,9.332008,9.590433,9.126225,9.092726,9.647861,9.174082,9.379865,9.769895,9.671789,9.669396,9.640682,9.647861,9.669396,9.650253,9.736395,9.619147,9.695718,9.772287,9.645468,9.767502,9.676575,9.726824,9.71486,9.698111,hh
-1.1078769,-1.2131611,-1.1365907,-2.1104696,-3.8333018,-4.8239303,-3.6466618,-3.0317063,-3.562913,-3.4887354,-3.0293136,-1.875973,-0.8422736,-0.11724831,-0.2321038,-0.22253251,-0.17467605,-0.148355,-0.14117654,-0.2416751,-0.21535404,-0.20338993,-0.30867413,-0.15553348,-0.14117654,-0.148355,-0.11006984,-0.20817557,-0.13160525,-0.13399807,-2.428715,-2.4717858,-2.3688943,1.7491534,-3.1154552,-1.2849457,-0.009571291,-1.3974084,-2.928815,-0.8470592,0.57906306,-0.0071784677,-2.4741786,-1.4237294,-1.9932213,-1.4763715,-2.3712873,-1.9980069,-1.7587247,-1.8281165,-2.0745773,-2.0602202,-1.8807586,-1.9621146,-1.7347964,-1.713261,-1.9621146,-1.9597218,-1.8975084,-1.902294,9.499506,9.643075,9.420543,9.217153,9.879965,9.35833,8.779266,9.195618,9.521041,9.245867,9.370294,9.365508,10.164711,9.456435,9.860822,9.724431,9.829716,9.678967,9.602397,9.71486,9.777073,9.724431,9.717253,9.779466,9.6071825,9.676575,9.674182,9.762716,9.765109,9.7196455,hh
-1.3256238,-1.2394822,-1.3136597,-1.2323036,-1.4237294,-2.8881369,-4.3908296,-4.3262234,-3.7280176,-3.1513474,-3.2709885,-3.5126636,-2.6416762,-1.0552348,-0.37567315,-0.2847459,-0.15792629,-0.3062813,-0.2656033,-0.17706887,-0.148355,-0.13160525,-0.08853444,-0.12921242,-0.148355,-0.16510476,-0.1363909,-0.13399807,-0.14117654,-0.10767702,-4.1635113,-4.1850467,-4.1587257,-4.1443686,-2.9503503,-1.3591232,-0.68195444,-1.3830515,-6.242874,-3.1609187,-2.7302105,-2.2588246,-1.8831514,-1.9334008,-2.321038,-3.1800613,-3.103491,-3.0580273,-3.2829528,-3.397808,-3.158526,-3.0173492,-3.2159536,-3.2350962,-3.2039895,-3.1513474,-3.0987053,-3.0604203,-3.07717,-3.1465619,8.925228,8.889337,9.099904,8.95155,9.590433,9.633504,9.083155,9.013762,9.499506,9.454042,9.085547,9.205189,9.633504,9.08794,9.712467,9.224331,9.401401,9.272188,9.406186,9.525827,9.355937,9.3511505,9.430114,9.449257,9.413364,9.468399,9.410972,9.399008,9.410972,9.415757,hh
-1.146162,-1.2251252,-1.2083755,-1.1318051,-1.1844472,-1.0408778,-1.3926228,-3.1728828,-4.4147577,-3.5509489,-3.0460632,-3.0173492,-3.1896327,-3.0317063,-2.821138,-1.5433706,-0.49292147,-0.57188463,-0.44745782,-0.35653058,-0.27517462,-0.30149564,-0.32063824,-0.3900301,-0.3493521,-0.35413775,-0.34456646,-0.3182454,-0.23449662,-0.35653058,3.9218364,3.7686956,3.9673,3.8835511,3.9218364,4.371687,4.895715,5.575277,3.9457645,3.062813,2.5698915,2.78046,3.225525,3.7758741,4.130012,5.130212,5.276174,3.7591243,3.438486,3.4217365,3.4313076,3.76391,3.9553359,3.6610186,3.7830527,3.792624,3.7471602,3.76391,3.790231,3.7974095,8.781659,8.874979,8.817552,8.781659,8.822337,8.475378,7.884351,7.6833534,8.178668,8.738588,9.288938,9.413364,8.8701935,8.377272,8.178668,7.8867435,7.972885,9.001799,9.19801,8.980264,9.123833,8.922835,9.102298,9.131011,9.016156,9.0544405,8.920443,8.953942,8.886943,9.080762,hh
-0.37806597,-0.32063824,-0.33020952,-0.31585258,-0.3684947,-0.33260235,-0.31106696,-0.33020952,-0.36131623,-0.37328035,-0.39481574,-0.33499518,-0.8327023,-1.7946169,-3.804588,-3.278167,-1.5816557,-1.698904,-2.3521447,-2.510071,-2.524428,-2.0985055,-0.8805587,-0.44745782,-0.38285163,-0.39960137,-0.40438703,-0.37088752,-0.36370903,-0.32303107,-0.7178468,-0.8111669,-0.6963114,-0.7848458,-0.7106683,-0.74416786,-0.75613195,-0.8207382,-0.6723832,-0.62931234,-0.63888365,-0.6436693,0.9379865,2.7613173,-0.72502524,-0.44506502,-0.62452674,-2.603391,-1.6630118,0.37088752,-0.031106694,0.21535404,0.33260235,-0.16749759,-0.5694918,-0.9212367,-0.6628119,-0.6987042,-0.74895346,-0.65324056,9.810573,9.79143,9.810573,9.822537,9.875179,9.77468,9.829716,9.789038,9.743574,9.753145,9.827323,9.803394,9.444471,8.659625,9.913465,9.449257,8.992228,10.303494,9.757931,9.509077,9.738789,9.793823,9.573684,9.595219,9.762716,9.822537,9.750752,9.827323,9.889536,9.779466,hh
-1.0743774,-1.1772687,-1.2586247,-2.172683,-4.302295,-3.8668015,-1.6582261,-2.2301106,-3.5964124,-3.5389848,-1.7156538,-1.1581261,-1.052842,-1.0456635,-1.0025927,-0.95473623,-0.9595219,-1.0049855,-0.93559366,-0.9212367,-0.8709874,-0.93559366,-0.9667004,-0.9523434,-0.86859465,-0.8877372,-0.8853444,-0.8877372,-0.8542377,-0.8805587,-1.9716859,-1.7515461,-1.1581261,1.4452649,-0.87338024,-1.7156538,-4.022335,-2.57707,-0.46660042,0.66999036,1.591227,-2.0075781,-2.1104696,-1.0911272,-1.2729816,-1.4404793,-1.3304094,-1.7491534,-1.8855443,-2.0602202,-1.8735801,-1.5577276,-1.564906,-1.6127625,-1.7563318,-1.7659031,-1.6797615,-1.6534405,-1.6319051,-1.5864414,9.65504,9.616755,9.482756,9.915857,9.65504,9.6071825,9.212367,9.698111,9.042477,9.633504,9.619147,10.095319,9.41815,9.518648,9.499506,9.688539,9.693324,9.700503,9.688539,9.765109,9.805787,9.750752,9.671789,9.667004,9.664611,9.659825,9.686146,9.623933,9.693324,9.669396,hh
-0.6867401,-0.8877372,-2.2325034,-3.4337006,-4.534399,-2.8905299,-2.0889342,-3.603591,-3.8356948,-3.5030923,-1.7156538,-1.0839486,-1.1581261,-1.012164,-0.78723866,-0.88295156,-0.83030945,-0.8350951,-0.80159557,-0.8255238,-0.7896315,-0.701097,-0.74177504,-0.69152576,-0.74895346,-0.7369894,-0.74895346,-0.7920243,-0.72263247,-0.74177504,-1.4045869,-0.46660042,1.1294123,0.8542377,0.4331009,-2.5387847,-2.9383862,-2.1918256,-0.16031912,0.5192425,1.6031911,-1.3351951,-0.3804588,-0.75613195,-0.91166544,-1.0600204,-0.9667004,-1.3112668,-1.1629118,-1.1246266,-1.0911272,-1.1174482,-1.1676974,-1.2753744,-1.2993027,-1.1676974,-1.18684,-1.1629118,-0.9834501,-1.1629118,9.652647,9.690931,8.91805,9.779466,9.334401,8.930014,10.439885,9.521041,9.138189,9.394221,9.432507,10.179068,9.671789,9.664611,9.647861,9.848858,9.62154,9.868001,9.688539,9.722038,9.762716,9.731609,9.793823,9.810573,9.757931,9.793823,9.796216,9.7196455,9.700503,9.772287,hh
-0.55034924,-0.60777694,-0.6125626,-0.61734825,-0.5312066,-0.5479564,-1.4189439,-3.3212378,-4.4051867,-2.2372892,-1.98365,-3.0077782,-3.0604203,-2.6368906,-1.3639089,-0.71306115,-0.5886344,-0.54317075,-0.44506502,-0.4331009,-0.3900301,-0.38524446,-0.32542387,-0.27517462,-0.27756742,-0.3397808,-0.33499518,-0.3469593,-0.31345975,-0.22253251,-5.6781683,-5.575277,-5.5704913,-5.5633125,-5.649454,-5.180461,-3.4648073,-2.7948167,-4.6061835,-4.6731825,-5.517849,-3.2925239,-4.0127635,-2.6991038,-2.2325034,-3.347559,-3.694518,-3.6251264,-3.9314077,-3.6466618,-3.5581272,-3.5389848,-3.6490545,-3.5174494,-3.6777685,-3.9026937,-3.6179478,-3.6203406,-3.8548372,-3.842873,8.190632,8.114061,8.142776,8.176275,8.243274,8.310273,9.176475,9.049655,9.008977,9.090333,9.073584,9.138189,9.068798,9.521041,9.4229355,9.23151,9.18126,9.322437,9.224331,9.18126,9.300901,9.209974,9.236296,9.202796,9.236296,9.174082,9.18126,9.064013,9.171689,9.245867,hh
-0.87338024,-0.9236295,-0.849452,-0.8781659,-0.8757731,-0.8566305,-2.2181466,-3.0436704,-3.0053852,-1.8807586,-1.4380864,-2.1631117,-2.6249263,-2.684747,-2.4382863,-1.3351951,-1.119841,-0.9762716,-0.88295156,-0.85902333,-0.7800602,-0.7896315,-0.7513463,-0.83748794,-0.7537391,-0.7728817,-0.79920274,-0.80877405,-0.77766734,-0.80877405,4.328616,4.3669014,4.240082,4.208975,4.278367,6.9009004,4.6612186,4.4602213,3.8380876,2.6129622,0.9451649,2.3641088,3.8380876,3.9481573,4.895715,4.941179,4.847859,3.3906298,3.9170506,3.7160535,3.8141594,3.438486,3.6083765,3.735196,3.603591,3.65384,3.656233,3.5533416,3.6586258,3.6107693,8.647661,8.673982,8.693125,8.673982,8.73141,7.2765737,7.8580294,8.549556,8.9013,8.556734,10.71506,10.212567,8.374879,8.41795,8.185846,7.9920278,8.551949,9.068798,8.944371,8.855837,8.865408,9.047262,9.0544405,9.06162,9.066405,9.016156,8.872586,8.973084,9.02812,8.922835,hh
-0.66759753,-0.6221339,-0.69152576,-0.7178468,-0.526421,-0.6891329,-0.53359944,-0.62931234,-0.526421,-0.50488555,-0.43788654,-0.40438703,-0.44985065,-0.9954142,-3.0364919,-4.9674997,-4.2975097,-2.900101,-3.6323047,-3.2446675,-2.1702902,-1.5409778,-0.6843473,-0.0741775,-0.4211368,-0.42592242,-0.5192425,-0.4761717,-0.36370903,-0.5096712,-0.9236295,-1.1318051,-1.0241281,-1.1150553,-1.0815558,-0.9738788,-1.0719845,-1.0719845,-1.1437693,-1.0600204,-1.1078769,-1.1653047,-1.1724831,3.2805598,0.11006984,0.34217364,-2.9886355,-3.4337006,-1.4356936,-0.39960137,0.41156548,1.038485,-1.2993027,-0.8327023,-1.1772687,-1.2394822,-1.174876,-1.3064811,-1.119841,-1.4333007,9.772287,9.79143,9.803394,9.896714,9.820144,9.899107,9.688539,9.798609,9.772287,9.801002,9.662218,9.784252,9.745967,9.367901,9.6071825,9.114262,9.040084,9.664611,9.573684,9.645468,9.336794,9.968499,9.731609,9.437292,9.683753,9.647861,9.705289,9.726824,9.657433,9.894321,hh
